actor/clip_fraction,actor/entropy,actor/iterations,actor/kl,actor/loss,actor/std,actor/stop,critic/iterations,critic/loss,critic/v,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
0.026483918,-0.88364685,80.0,0.0036186953,-0.0014619892,0.10000001,0.0,80.0,190.5148,13.787088,1.2994416,0.030730413,-1.3724432,5000,0.7966781,1000,1000.0,1000,5,0.0,784.4453755803406,775.1447253197432,768.2698515355587,5,5.213916136102693,1.4036871,0.029932957,-1.3358707,20000,0.7989926,1000,1000.0,1000,20,0.0,788.605966925621,779.0355159798171,769.3128373418003,20,4.828566177096132,20.0,44.30562233924866,20000.0,1.0,44.30562233924866,20000.0,451.40997787729447,20000.0
0.027654419,-0.88364685,80.0,0.003042102,-0.0016434538,0.10000002,0.0,80.0,73.64607,38.67999,1.3340269,0.03076428,-1.3241428,5000,0.79566973,1000,1000.0,1000,5,0.0,784.5478887916543,780.4699378912337,777.1003387495875,5,2.60423030515515,1.3846083,0.031420477,-1.3739111,20000,0.7971892,1000,1000.0,1000,20,0.0,789.9169008247554,780.6246323793545,769.2181889861822,20,5.042291014943997,40.0,44.056920289993286,20000.0,2.0,88.43785047531128,40000.0,453.9581947252593,40000.0
0.012592163,-0.88364685,80.0,0.0024743334,-0.00086373434,0.10000002,0.0,80.0,23.17707,56.497482,1.4304309,0.008021857,-1.3474433,5000,0.8069439,1000,1000.0,1000,5,0.0,790.6899134851992,783.8307047953189,774.2593468266132,5,5.39967476798359,1.3538706,0.022412788,-1.3644542,20000,0.8009267,1000,1000.0,1000,20,0.0,793.1454897336662,783.9161188979342,774.766832023859,20,5.10364211614103,60.0,43.09566926956177,20000.0,3.0,131.60965085029602,60000.0,464.08375456245415,60000.0
0.019562379,-0.88364685,80.0,0.0022879061,-0.001277271,0.10000002,0.0,80.0,6.3978796,67.99202,1.3136044,0.018964427,-1.3211145,5000,0.8041069,1000,1000.0,1000,5,0.0,798.4388445913792,791.7518616445362,787.618479186669,5,3.927097264498355,1.4046165,0.027969703,-1.3885741,20000,0.8047093,1000,1000.0,1000,20,0.0,797.6373506039381,785.5328228112688,757.7262848545797,20,8.369050521519162,80.0,49.36433172225952,20000.0,4.0,181.04155015945435,80000.0,405.1508306144361,80000.0
0.03910278,-0.88364685,80.0,0.0032976693,-0.0024803139,0.10000002,0.0,80.0,1.8404489,74.93222,1.3389282,0.021704493,-1.3676523,5000,0.8105379,1000,1000.0,1000,5,0.0,806.2124450989068,797.5204924639314,791.0108202435076,5,4.902073732853528,1.3597296,0.017955534,-1.3813919,20000,0.807683,1000,1000.0,1000,20,0.0,803.8000959288329,795.4487307035422,785.9260968817398,20,5.470022702001731,100.0,47.36730909347534,20000.0,5.0,228.47379517555237,100000.0,422.2321339920684,100000.0
0.028244019,-0.88364685,80.0,0.0039299396,-0.0019884834,0.10000002,0.0,80.0,0.76261383,78.79118,1.3592863,0.019217782,-1.3481336,5000,0.8116513,1000,1000.0,1000,5,0.0,809.9678352028131,804.9049773300067,800.9157879985869,5,3.1889917909079135,1.4160256,0.020412574,-1.3637981,20000,0.8098459,1000,1000.0,1000,20,0.0,809.4194660242647,799.2444960615715,792.1338765360415,20,5.212301652407051,120.0,42.98486828804016,20000.0,6.0,271.5397791862488,120000.0,465.2800112351321,120000.0
0.020076293,-0.88364685,80.0,0.0025668028,-0.001239429,0.10000002,0.0,80.0,0.539363,80.70481,1.3702651,0.027089372,-1.3853301,5000,0.813767,1000,1000.0,1000,5,0.0,810.7077703308314,807.1652580540627,801.8214626461267,5,3.3523619555259176,1.4214277,0.02614008,-1.3624913,20000,0.81180155,1000,1000.0,1000,20,0.0,814.9689893461764,803.9625705710641,795.4806814889889,20,5.607310359013417,140.0,44.595046520233154,20000.0,7.0,316.2159090042114,140000.0,448.4803035450547,140000.0
0.030787963,-0.88364685,80.0,0.0030635449,-0.0019770807,0.10000002,0.0,80.0,0.48656,81.7646,1.3916405,0.028997129,-1.387011,5000,0.82016855,1000,1000.0,1000,5,0.0,822.6284835785627,816.1102079249919,809.0593437850475,5,5.569826821891129,1.4756942,0.029107304,-1.3638928,20000,0.81663775,1000,1000.0,1000,20,0.0,817.9648902267218,807.2553208203404,772.7767495773733,20,10.454513151949905,160.0,45.84635305404663,20000.0,8.0,362.13341760635376,160000.0,436.2397152162292,160000.0
0.04586029,-0.88364685,80.0,0.0043604234,-0.003075153,0.10000001,0.0,80.0,0.3473971,82.41887,1.3559444,0.01943489,-1.3495804,5000,0.8186812,1000,1000.0,1000,5,0.0,827.7452011108398,821.937601315137,812.4197098398581,5,5.173893303188931,1.4153682,0.03505983,-1.458659,20000,0.8188564,1000,1000.0,1000,20,0.0,823.7041369578801,813.0115224313137,798.4536130577326,20,6.330839961215967,180.0,42.42752027511597,20000.0,9.0,404.62336349487305,180000.0,471.39214996098036,180000.0
0.028140258,-0.88364685,80.0,0.0032264567,-0.0021994452,0.10000002,0.0,80.0,0.268458,83.414825,1.3515973,0.013426726,-1.377686,5000,0.8198231,1000,1000.0,1000,5,0.0,829.8337604917251,824.072150648509,819.9357425905764,5,3.560924537176295,1.3541803,0.018041011,-1.4553,20000,0.8194483,1000,1000.0,1000,20,0.0,831.3319928050041,823.4973469488323,815.895700249821,20,5.387905646157365,200.0,51.843684911727905,20000.0,10.0,456.5469329357147,200000.0,385.7750473187462,200000.0
